date,request,Lended_Amount,Repaid_Amount,Locked_Amount
2021-04-08,231,418925.6900000001,126476.454,292449.23600000015
2021-04-09,237,395073.24000000005,173495.52999999997,221577.71000000008
2021-04-10,142,215457.6299999999,68758.52100000001,146699.10899999988
2021-04-11,123,218777.08000000016,53414.088,165362.99200000014
2021-04-12,284,547000.1600000003,161662.124,385338.03600000025
2021-04-13,232,404980.03999999963,129220.74099999998,275759.29899999965
2021-04-14,277,542519.2300000001,135211.86899999998,407307.36100000015
2021-04-15,247,410096.9100000001,143438.165,266658.7450000001
2021-04-16,267,473415.5899999998,185384.04300000003,288031.5469999998
2021-04-17,142,226775.28000000003,86938.13699999999,139837.14300000004
2021-04-18,121,192353.3500000001,76437.712,115915.6380000001
2021-04-19,296,552517.1699999998,175507.42299999998,377009.74699999986
2021-04-20,281,480604.75,204824.95800000004,275779.79199999996
2021-04-21,288,524822.6700000003,179459.91700000002,345362.75300000026
2021-04-22,231,395704.27,153879.219,241825.051
2021-04-23,271,457257.3100000003,182309.595,274947.7150000003
2021-04-24,143,240328.75000000003,106419.52100000001,133909.22900000002
2021-04-25,138,231548.02999999997,51230.868,180317.16199999995
2021-04-26,323,615909.0100000002,230250.26700000002,385658.74300000025
2021-04-27,344,606289.4000000003,223008.61700000014,383280.7830000001
2021-04-28,264,441542.73,178057.789,263484.941
2021-04-29,303,526296.4800000003,232279.68399999998,294016.7960000003
2021-04-30,141,246020.71000000008,55001.530999999995,191019.1790000001
2021-05-01,111,183020.2,55225.963,127794.23700000001
2021-05-02,42,84290.76000000001,4543.8640000000005,79746.89600000001
2021-05-03,145,241509.75000000006,73369.27000000002,168140.48000000004
2021-05-04,153,263573.9,77970.659,185603.24100000004
2021-05-05,310,609229.2599999999,180358.95800000004,428870.30199999985
2021-05-06,124,233240.72999999995,69707.144,163533.58599999995
2021-05-07,307,600250.8600000001,235866.579,364384.2810000001
2021-05-08,154,275960.92999999993,78834.379,197126.55099999992
