Date,Good,Bad,Good_rate,Bad_rate
2021-08-05,235,7,0.9710743801652892,0.028925619834710745
2021-08-06,191,9,0.955,0.045
2021-08-07,134,6,0.9571428571428572,0.04285714285714286
2021-08-08,88,1,0.9887640449438202,0.011235955056179775
2021-08-09,278,13,0.9553264604810997,0.044673539518900345
2021-08-10,266,13,0.953405017921147,0.04659498207885305
2021-08-11,261,15,0.9456521739130435,0.05434782608695652
2021-08-12,214,10,0.9553571428571429,0.044642857142857144
2021-08-13,230,10,0.9583333333333334,0.041666666666666664
2021-08-14,130,8,0.9420289855072463,0.057971014492753624
2021-08-15,80,4,0.9523809523809523,0.047619047619047616
2021-08-16,244,11,0.9568627450980393,0.043137254901960784
2021-08-17,244,11,0.9568627450980393,0.043137254901960784
2021-08-18,236,7,0.9711934156378601,0.02880658436213992
2021-08-19,212,5,0.9769585253456221,0.02304147465437788
2021-08-20,233,10,0.9588477366255144,0.0411522633744856
2021-08-21,125,4,0.9689922480620154,0.031007751937984496
2021-08-22,113,1,0.9912280701754386,0.008771929824561403
2021-08-23,239,11,0.956,0.044
2021-08-24,247,8,0.9686274509803922,0.03137254901960784
2021-08-25,224,7,0.9696969696969697,0.030303030303030304
2021-08-26,206,5,0.976303317535545,0.023696682464454975
2021-08-27,211,7,0.9678899082568807,0.03211009174311927
2021-08-28,159,3,0.9814814814814815,0.018518518518518517
2021-08-29,103,0,1,0
2021-08-30,234,7,0.970954356846473,0.029045643153526972
2021-08-31,237,9,0.9634146341463414,0.036585365853658534
2021-09-01,189,6,0.9692307692307692,0.03076923076923077
2021-09-02,233,8,0.966804979253112,0.03319502074688797
2021-09-03,212,8,0.9636363636363636,0.03636363636363636
2021-09-04,120,2,0.9836065573770492,0.01639344262295082
2021-09-05,99,2,0.9801980198019802,0.019801980198019802
2021-09-06,130,5,0.9629629629629629,0.037037037037037035
2021-09-07,209,8,0.9631336405529954,0.03686635944700461
2021-09-08,192,8,0.96,0.04
2021-09-09,177,6,0.9672131147540983,0.03278688524590164
2021-09-10,188,7,0.9641025641025641,0.035897435897435895
2021-09-11,140,4,0.9722222222222222,0.027777777777777776
2021-09-12,91,2,0.978494623655914,0.021505376344086023
2021-09-13,229,7,0.9703389830508474,0.029661016949152543
2021-09-14,218,12,0.9478260869565217,0.05217391304347826
2021-09-15,250,8,0.9689922480620154,0.031007751937984496
2021-09-16,229,5,0.9786324786324786,0.021367521367521368
2021-09-17,210,6,0.9722222222222222,0.027777777777777776
2021-09-18,119,0,1,0
2021-09-19,116,5,0.9586776859504132,0.04132231404958678
2021-09-20,267,3,0.9888888888888889,0.011111111111111112
2021-09-21,221,5,0.9778761061946902,0.022123893805309734
2021-09-22,168,2,0.9882352941176471,0.011764705882352941
2021-09-23,260,15,0.9454545454545454,0.05454545454545454
2021-09-24,214,6,0.9727272727272728,0.02727272727272727
2021-09-25,145,10,0.9354838709677419,0.06451612903225806
2021-09-26,125,3,0.9765625,0.0234375
2021-09-27,245,9,0.9645669291338582,0.03543307086614173
2021-09-28,237,10,0.9595141700404858,0.04048582995951417
2021-09-29,247,6,0.9762845849802372,0.023715415019762844
2021-09-30,240,5,0.9795918367346939,0.02040816326530612
2021-10-01,239,4,0.9835390946502057,0.01646090534979424
2021-10-02,135,3,0.9782608695652174,0.021739130434782608
2021-10-03,110,2,0.9821428571428571,0.017857142857142856
2021-10-04,242,5,0.979757085020243,0.020242914979757085
2021-10-05,249,10,0.9613899613899614,0.03861003861003861
2021-10-06,219,8,0.9647577092511013,0.03524229074889868
2021-10-07,373,21,0.9467005076142132,0.0532994923857868
2021-10-08,353,28,0.926509186351706,0.07349081364829396
2021-10-09,147,5,0.9671052631578947,0.03289473684210526
2021-10-10,126,5,0.9618320610687023,0.03816793893129771
2021-10-11,324,15,0.9557522123893806,0.04424778761061947
