date,REJECT,APPLICANT,APPROVED,NTU,ACCEPT
2021-08-27,78,181,103,20,83
2021-08-28,68,131,63,16,47
2021-08-29,46,83,37,10,27
2021-08-30,74,198,124,18,106
2021-08-31,82,200,118,20,98
2021-09-01,73,162,89,17,72
2021-09-02,83,195,112,21,91
2021-09-03,72,183,111,27,84
2021-09-04,39,93,54,10,44
2021-09-05,48,86,38,9,29
2021-09-06,61,117,56,10,46
2021-09-07,66,181,115,17,98
2021-09-08,69,171,102,18,84
2021-09-09,70,152,82,16,66
2021-09-10,55,158,103,23,80
2021-09-11,40,115,75,11,64
2021-09-12,39,75,36,11,25
2021-09-13,73,183,110,22,88
2021-09-14,62,179,117,17,100
2021-09-15,74,177,103,19,84
2021-09-16,67,180,113,27,86
2021-09-17,66,175,109,16,93
2021-09-18,52,98,46,8,38
2021-09-19,65,105,40,9,31
2021-09-20,98,217,119,24,95
2021-09-21,68,184,116,24,92
2021-09-22,71,133,62,12,50
2021-09-23,90,225,135,22,113
2021-09-24,73,186,113,13,100
2021-09-25,68,132,64,11,53
2021-09-26,49,106,57,11,46
2021-09-27,96,209,113,29,84
2021-09-28,94,215,121,22,99
2021-09-29,88,203,115,15,100
2021-09-30,99,207,108,24,84
2021-10-01,87,194,107,12,95
2021-10-02,62,108,46,10,36
2021-10-03,50,93,43,7,36
2021-10-04,110,199,89,16,73
2021-10-05,102,207,105,21,84
2021-10-06,79,190,111,28,83
2021-10-07,112,291,179,48,131
2021-10-08,106,310,204,33,171
2021-10-09,46,120,74,11,63
2021-10-10,59,104,45,7,38
2021-10-11,96,263,167,31,136
2021-10-12,308,450,142,41,101
2021-10-13,125,246,121,17,104
2021-10-14,125,236,111,16,95
2021-10-15,112,245,133,20,113
2021-10-16,67,132,65,13,52
2021-10-17,55,112,57,9,48
2021-10-18,119,283,164,23,141
2021-10-19,97,210,113,19,94
2021-10-20,95,232,137,20,117
2021-10-21,130,277,147,27,120
2021-10-22,98,209,111,29,82
2021-10-23,56,120,64,8,56
2021-10-24,61,103,42,12,30
2021-10-25,157,291,134,22,112
2021-10-26,131,254,123,30,93
2021-10-27,111,244,133,22,111
2021-10-28,91,210,119,20,99
2021-10-29,107,248,141,15,126
2021-10-30,55,125,70,15,55
2021-10-31,53,107,54,12,42
2021-11-01,101,217,116,21,95
2021-11-02,95,211,116,19,97
2021-11-03,118,222,104,16,88
2021-11-04,108,214,106,22,84
2021-11-05,102,246,144,25,119
2021-11-06,60,111,51,8,43
2021-11-07,48,91,43,12,31
2021-11-08,115,240,125,23,102
2021-11-09,85,213,128,14,114
2021-11-10,104,216,112,18,94
2021-11-11,94,209,115,16,99
2021-11-12,84,199,115,24,91
2021-11-13,56,115,59,13,46
2021-11-14,60,101,41,8,33
2021-11-15,92,234,142,25,117
2021-11-16,128,221,93,17,76
2021-11-17,113,225,112,14,98
2021-11-18,69,193,124,21,103
2021-11-19,99,227,128,28,100
2021-11-20,68,146,78,14,64
2021-11-21,54,110,56,14,42
2021-11-22,98,237,139,15,124
2021-11-23,167,283,116,17,99
2021-11-24,120,231,111,21,90
2021-11-25,147,308,161,40,121
2021-11-26,99,250,151,28,123
2021-11-27,83,165,82,26,56
2021-11-28,58,108,50,12,38
2021-11-29,109,285,176,33,143
2021-11-30,111,245,134,20,114
2021-12-01,96,216,120,19,101
2021-12-02,132,237,105,10,95
2021-12-03,124,253,129,25,104
2021-12-04,76,151,75,18,57
2021-12-05,78,128,50,5,45
2021-12-06,111,247,136,27,109
2021-12-07,147,317,170,39,131
2021-12-08,120,261,141,38,103
2021-12-09,123,255,132,22,110
2021-12-10,116,255,139,18,121
2021-12-11,84,162,78,22,56
2021-12-12,53,107,54,14,40
2021-12-13,123,291,168,37,131
2021-12-14,107,293,186,46,140
2021-12-15,119,258,139,23,116
2021-12-16,121,283,162,23,139
2021-12-17,102,238,136,30,106
2021-12-18,73,153,80,13,67
2021-12-19,55,116,61,18,43
2021-12-20,271,471,200,37,163
2021-12-21,175,353,178,25,153
2021-12-22,157,338,181,41,140
2021-12-23,123,278,155,26,129
2021-12-24,57,115,58,13,45
2021-12-25,33,50,17,12,5
2021-12-26,59,110,51,5,46
2021-12-27,108,196,88,17,71
2021-12-28,98,202,104,23,81
2021-12-29,132,330,198,48,150
2021-12-30,140,311,171,29,142
2021-12-31,68,173,105,21,84
2022-01-01,30,37,7,6,1
2022-01-02,53,96,43,5,38
2022-01-03,79,154,75,19,56
2022-01-04,100,258,158,19,139
2022-01-05,115,253,138,24,114
2022-01-06,100,208,108,14,94
2022-01-07,102,221,119,28,91
2022-01-08,65,138,73,15,58
2022-01-09,44,84,40,7,33
2022-01-10,118,254,136,30,106
2022-01-11,96,211,115,14,101
2022-01-12,117,242,125,22,103
